,0,1,2,3,4,5,6,7
0,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1
2,0,1,1,1,1,0,1,1
3,1,1,1,1,1,1,0,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,0,1
6,1,1,0,0,1,1,0,0
7,1,1,0,1,1,0,1,0
8,1,1,1,0,0,1,0,1
9,1,0,1,1,1,1,1,1
10,1,1,0,1,1,1,1,1
11,1,1,1,1,0,1,1,1
12,1,1,1,1,1,1,1,1
13,0,0,0,0,1,0,1,0
14,0,1,0,1,1,0,1,1
15,1,1,0,1,1,0,1,1
16,1,1,1,1,0,1,0,1
17,1,1,1,1,1,1,0,1
18,1,1,0,1,1,0,1,1
19,1,1,1,1,1,1,1,1
20,0,0,1,1,1,1,1,1
21,1,1,0,1,1,1,1,1
22,0,0,1,0,0,1,1,0
23,1,1,1,1,1,0,1,1
24,1,1,1,1,1,1,1,1
25,1,1,1,1,0,1,0,1
26,0,0,1,0,0,1,1,0
27,0,0,1,0,0,0,1,1
28,1,0,0,1,1,0,1,0
29,1,1,0,1,1,1,1,1
30,0,0,1,1,1,0,1,1
31,1,1,0,1,1,1,1,0
32,1,1,1,1,1,1,0,1
33,1,0,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1
35,0,1,0,1,0,1,0,0
36,1,1,0,1,1,0,1,1
37,1,1,1,1,0,1,1,1
38,0,1,0,1,1,1,1,1
39,1,1,1,1,1,0,0,1
40,0,0,1,1,0,1,1,1
41,1,1,0,1,0,1,1,0
42,1,1,0,0,1,1,0,1
43,1,1,0,1,0,1,1,1
44,0,1,1,1,1,1,1,1
45,1,0,1,1,1,1,1,0
